z,y,x
128,2816,1792
129,2816,1792
130,2816,1792
131,2816,1792
132,2816,1792
133,2816,1792
134,2816,1792
135,2816,1792
128,2560,2304
128,2816,2048
128,2816,2304
129,2560,2304
129,2816,2048
129,2816,2304
130,2560,2304
130,2816,2048
130,2816,2304
131,2560,2304
131,2816,2048
131,2816,2304
0,2304,1792
1,2304,1792
2,2304,1792
3,2304,1792
4,2304,1792
5,2304,1792
6,2304,1792
7,2304,1792
0,2304,2304
128,3072,2048
129,3072,2048
130,3072,2048
131,3072,2048
132,3072,2048
133,3072,2048
134,3072,2048
0,2560,1792
0,2816,1792
1,2560,1792
1,2816,1792
2,2560,1792
2,2816,1792
3,2560,1792
3,2816,1792
4,2560,1792
4,2816,1792
5,2560,1792
5,2816,1792
6,2560,1792
6,2816,1792
7,2560,1792
7,2816,1792
0,2560,2048
0,2816,2048
0,2816,2304
1,2560,2048
1,2816,2048
1,2816,2304
2,2560,2048
2,2816,2048
2,2816,2304
3,2560,2048
3,2816,2048
3,2816,2304
0,3072,2048
1,3072,2048
2,3072,2048
3,3072,2048
4,3072,2048
5,3072,2048
6,3072,2048
7,3072,2048
8,3072,2048
9,3072,2048
10,3072,2048
11,3072,2048
12,3072,2048
13,3072,2048
14,3072,2048
15,3072,2048
128,2048,1792
128,2304,1792
129,2048,1792
129,2304,1792
130,2048,1792
130,2304,1792
131,2048,1792
131,2304,1792
132,2048,1792
132,2304,1792
133,2048,1792
133,2304,1792
134,2048,1792
134,2304,1792
135,2048,1792
135,2304,1792
136,2816,1792
137,2816,1792
138,2816,1792
139,2816,1792
140,2816,1792
141,2816,1792
142,2816,1792
143,2816,1792
132,2560,2304
132,2816,2048
132,2816,2304
133,2560,2304
133,2816,2048
133,2816,2304
134,2560,2304
134,2816,2048
134,2816,2304
135,2560,2304
135,2816,2048
135,2816,2304
8,2304,1792
9,2304,1792
10,2304,1792
11,2304,1792
12,2304,1792
13,2304,1792
14,2304,1792
15,2304,1792
8,2560,1792
8,2816,1792
9,2560,1792
9,2816,1792
10,2560,1792
10,2816,1792
11,2560,1792
11,2816,1792
12,2560,1792
12,2816,1792
13,2560,1792
13,2816,1792
14,2560,1792
