ds factor = 4, patch sixe = 256
Method: DDPS
Found 1 groups:
  - 2019_L
Dice LR-HR: 0.6482, SR-HR: 0.3245
Jaccard LR-HR: 0.4795, SR-HR: 0.1937
Dice LR-HR: 0.3001, SR-HR: 0.0126
Jaccard LR-HR: 0.1765, SR-HR: 0.0063
Dice LR-HR: 0.5562, SR-HR: 0.0690
Jaccard LR-HR: 0.3852, SR-HR: 0.0357
Dice LR-HR: 0.5906, SR-HR: 0.1911
Jaccard LR-HR: 0.4190, SR-HR: 0.1057
Dice LR-HR: 0.1576, SR-HR: 0.4518
Jaccard LR-HR: 0.0855, SR-HR: 0.2918
Dice LR-HR: 0.5622, SR-HR: 0.3522
Jaccard LR-HR: 0.3911, SR-HR: 0.2138
Dice LR-HR: 0.6167, SR-HR: 0.4898
Jaccard LR-HR: 0.4458, SR-HR: 0.3243
Dice LR-HR: 0.1897, SR-HR: 0.0222
Jaccard LR-HR: 0.1048, SR-HR: 0.0112
Dice LR-HR: 0.5278, SR-HR: 0.0600
Jaccard LR-HR: 0.3585, SR-HR: 0.0309
Dice LR-HR: 0.6008, SR-HR: 0.5866
Jaccard LR-HR: 0.4294, SR-HR: 0.4150
Dice LR-HR: 0.2194, SR-HR: 0.1984
Jaccard LR-HR: 0.1232, SR-HR: 0.1101
Dice LR-HR: 0.5709, SR-HR: 0.5145
Jaccard LR-HR: 0.3995, SR-HR: 0.3464
Dice LR-HR: 0.5793, SR-HR: 0.4571
Jaccard LR-HR: 0.4078, SR-HR: 0.2962
Dice LR-HR: 0.2196, SR-HR: 0.0294
Jaccard LR-HR: 0.1233, SR-HR: 0.0149
Dice LR-HR: 0.6468, SR-HR: 0.4022
Jaccard LR-HR: 0.4780, SR-HR: 0.2517
Dice LR-HR: 0.5810, SR-HR: 0.3209
Jaccard LR-HR: 0.4094, SR-HR: 0.1911
Dice LR-HR: 0.1721, SR-HR: 0.3532
Jaccard LR-HR: 0.0941, SR-HR: 0.2145
Dice LR-HR: 0.5868, SR-HR: 0.1974
Jaccard LR-HR: 0.4152, SR-HR: 0.1095
Dice LR-HR: 0.6007, SR-HR: 0.4812
Jaccard LR-HR: 0.4293, SR-HR: 0.3168
Dice LR-HR: 0.1619, SR-HR: 0.0555
Jaccard LR-HR: 0.0881, SR-HR: 0.0286
Dice LR-HR: 0.6008, SR-HR: 0.0726
Jaccard LR-HR: 0.4293, SR-HR: 0.0377
Dice LR-HR: 0.5614, SR-HR: 0.1880
Jaccard LR-HR: 0.3902, SR-HR: 0.1038
Dice LR-HR: 0.2132, SR-HR: 0.0867
Jaccard LR-HR: 0.1193, SR-HR: 0.0453
Dice LR-HR: 0.5639, SR-HR: 0.3444
Jaccard LR-HR: 0.3927, SR-HR: 0.2080
Dice LR-HR: 0.5777, SR-HR: 0.4511
Jaccard LR-HR: 0.4062, SR-HR: 0.2913
Dice LR-HR: 0.2648, SR-HR: 0.1651
Jaccard LR-HR: 0.1526, SR-HR: 0.0900
Dice LR-HR: 0.5170, SR-HR: 0.0863
Jaccard LR-HR: 0.3486, SR-HR: 0.0451
Dice LR-HR: 0.5919, SR-HR: 0.5084
Jaccard LR-HR: 0.4203, SR-HR: 0.3408
Dice LR-HR: 0.4194, SR-HR: 0.0756
Jaccard LR-HR: 0.2653, SR-HR: 0.0393
Dice LR-HR: 0.5461, SR-HR: 0.0697
Jaccard LR-HR: 0.3756, SR-HR: 0.0361
Dice LR-HR: 0.5954, SR-HR: 0.4752
Jaccard LR-HR: 0.4239, SR-HR: 0.3117
Dice LR-HR: 0.2739, SR-HR: 0.1020
Jaccard LR-HR: 0.1587, SR-HR: 0.0537
Dice LR-HR: 0.5018, SR-HR: 0.0919
Jaccard LR-HR: 0.3349, SR-HR: 0.0482
Dice LR-HR: 0.5594, SR-HR: 0.2090
Jaccard LR-HR: 0.3883, SR-HR: 0.1167
Dice LR-HR: 0.3947, SR-HR: 0.0333
Jaccard LR-HR: 0.2459, SR-HR: 0.0169
Dice LR-HR: 0.5585, SR-HR: 0.4842
Jaccard LR-HR: 0.3874, SR-HR: 0.3194
Dice LR-HR: 0.5864, SR-HR: 0.2471
Jaccard LR-HR: 0.4148, SR-HR: 0.1410
Dice LR-HR: 0.3910, SR-HR: 0.0573
Jaccard LR-HR: 0.2430, SR-HR: 0.0295
Dice LR-HR: 0.5760, SR-HR: 0.6091
Jaccard LR-HR: 0.4045, SR-HR: 0.4379
Dice LR-HR: 0.6167, SR-HR: 0.1453
Jaccard LR-HR: 0.4459, SR-HR: 0.0784
Dice LR-HR: 0.3634, SR-HR: 0.3827
Jaccard LR-HR: 0.2221, SR-HR: 0.2366
Dice LR-HR: 0.5345, SR-HR: 0.5797
Jaccard LR-HR: 0.3648, SR-HR: 0.4081
Dice LR-HR: 0.5884, SR-HR: 0.4924
Jaccard LR-HR: 0.4169, SR-HR: 0.3266
Dice LR-HR: 0.3380, SR-HR: 0.2123
Jaccard LR-HR: 0.2034, SR-HR: 0.1188
Dice LR-HR: 0.5985, SR-HR: 0.5695
Jaccard LR-HR: 0.4271, SR-HR: 0.3981
Dice LR-HR: 0.6032, SR-HR: 0.5874
Jaccard LR-HR: 0.4318, SR-HR: 0.4159
Dice LR-HR: 0.2541, SR-HR: 0.0676
Jaccard LR-HR: 0.1456, SR-HR: 0.0350
Dice LR-HR: 0.5796, SR-HR: 0.0832
Jaccard LR-HR: 0.4080, SR-HR: 0.0434
Dice LR-HR: 0.5630, SR-HR: 0.2710
Jaccard LR-HR: 0.3918, SR-HR: 0.1567
Dice LR-HR: 0.2429, SR-HR: 0.2480
Jaccard LR-HR: 0.1383, SR-HR: 0.1415
Dice LR-HR: 0.5100, SR-HR: 0.0702
Jaccard LR-HR: 0.3423, SR-HR: 0.0364
Dice LR-HR: 0.5598, SR-HR: 0.1901
Jaccard LR-HR: 0.3887, SR-HR: 0.1050
Dice LR-HR: 0.1874, SR-HR: 0.0230
Jaccard LR-HR: 0.1034, SR-HR: 0.0116
Dice LR-HR: 0.5402, SR-HR: 0.1521
Jaccard LR-HR: 0.3701, SR-HR: 0.0823
Dice LR-HR: 0.6090, SR-HR: 0.6425
Jaccard LR-HR: 0.4378, SR-HR: 0.4733
Dice LR-HR: 0.1982, SR-HR: 0.0384
Jaccard LR-HR: 0.1100, SR-HR: 0.0196
Dice LR-HR: 0.5338, SR-HR: 0.3903
