Original volume shape: (3546, 4608, 4608), chunks: (128, 512, 512)
Part_4
cuda
Found 1 groups:
  - 2019_L
Starting inference over full volume...
16 patches processed
32 patches processed
48 patches processed
64 patches processed
80 patches processed
96 patches processed
112 patches processed
128 patches processed
144 patches processed
160 patches processed
176 patches processed
192 patches processed
208 patches processed
224 patches processed
240 patches processed
256 patches processed
272 patches processed
288 patches processed
304 patches processed
320 patches processed
336 patches processed
352 patches processed
368 patches processed
384 patches processed
400 patches processed
416 patches processed
432 patches processed
448 patches processed
464 patches processed
480 patches processed
496 patches processed
512 patches processed
528 patches processed
544 patches processed
560 patches processed
576 patches processed
592 patches processed
608 patches processed
624 patches processed
640 patches processed
656 patches processed
672 patches processed
688 patches processed
704 patches processed
720 patches processed
736 patches processed
752 patches processed
768 patches processed
784 patches processed
800 patches processed
816 patches processed
832 patches processed
848 patches processed
864 patches processed
880 patches processed
896 patches processed
912 patches processed
928 patches processed
944 patches processed
960 patches processed
976 patches processed
992 patches processed
1008 patches processed
1024 patches processed
1040 patches processed
1056 patches processed
1072 patches processed
1088 patches processed
1104 patches processed
1120 patches processed
1136 patches processed
1152 patches processed
1168 patches processed
1184 patches processed
1200 patches processed
1216 patches processed
1232 patches processed
1248 patches processed
1264 patches processed
1280 patches processed
1296 patches processed
1312 patches processed
1328 patches processed
1344 patches processed
1360 patches processed
1376 patches processed
1392 patches processed
1408 patches processed
1424 patches processed
1440 patches processed
1456 patches processed
1472 patches processed
1488 patches processed
1504 patches processed
1520 patches processed
1536 patches processed
1552 patches processed
1568 patches processed
1584 patches processed
1600 patches processed
1616 patches processed
1632 patches processed
1648 patches processed
1664 patches processed
1680 patches processed
1696 patches processed
1712 patches processed
1728 patches processed
1744 patches processed
1760 patches processed
1776 patches processed
1792 patches processed
1808 patches processed
1824 patches processed
1840 patches processed
1856 patches processed
1872 patches processed
1888 patches processed
1904 patches processed
1920 patches processed
1936 patches processed
1952 patches processed
1968 patches processed
1984 patches processed
2000 patches processed
2016 patches processed
2032 patches processed
2048 patches processed
2064 patches processed
2080 patches processed
2096 patches processed
2112 patches processed
2128 patches processed
2144 patches processed
2160 patches processed
2176 patches processed
2192 patches processed
2208 patches processed
2224 patches processed
2240 patches processed
2256 patches processed
2272 patches processed
2288 patches processed
2304 patches processed
2320 patches processed
2336 patches processed
2352 patches processed
2368 patches processed
2384 patches processed
2400 patches processed
2416 patches processed
2432 patches processed
2448 patches processed
2464 patches processed
2480 patches processed
2496 patches processed
2512 patches processed
2528 patches processed
2544 patches processed
2560 patches processed
2576 patches processed
2592 patches processed
2608 patches processed
2624 patches processed
2640 patches processed
2656 patches processed
